Time,PG1,PG2,PG3,PG4,PG5,PG6
2:10:21,434,269,1160,628,1255,1616
2:30:14,435,265,1160,629,1255,1616
2:50:08,436,264,1160,628,1255,1616
3:11:00,436,264,1162,628,1255,1619
3:30:55,436,264,1162,629,1255,1619
3:50:49,436,264,1162,628,1255,1619
4:10:44,435,264,1162,628,1255,1619
4:30:41,435,265,1162,629,1255,1619
5:34:59,434,265,1162,627,1255,1619
6:02:08,433,265,1165,631,1255,1621
6:22:02,429,264,1165,634,1255,1621
6:41:56,424,262,1159,636,1255,1616
10:07:36,0,36,817,406,338,993
10:25:34,0,5,761,377,310,906
10:46:23,0,0,645,334,277,777
11:21:58,0,9,556,292,244,637
13:08:35,0,42,469,274,206,685
13:41:30,0,33,504,309,243,693
13:56:37,0,23,493,306,258,695
14:11:43,9,28,507,332,311,750
14:26:51,13,23,509,336,349,773
14:41:56,22,38,516,352,387,778
14:57:02,32,43,527,363,411,797
15:05:41,41,57,533,366,414,807
15:12:07,47,69,544,371,433,823
15:27:15,61,86,591,385,478,868
15:42:32,71,102,656,420,533,945
15:57:40,90,122,680,428,557,950
16:12:53,87,138,683,445,590,954
16:28:00,82,154,679,453,614,957
16:43:07,71,159,697,467,677,976
16:58:16,65,159,689,463,716,974
17:22:02,66,166,662,481,815,1003
17:37:10,63,170,684,491,842,1065
17:52:16,60,176,702,487,869,1104
